Document # 	 Predicted Label 	 Actual Label
	1		 | 		pos		 | 		pos
	493		 | 		pos		 | 		pos
	494		 | 		neg		 | 		pos
	495		 | 		pos		 | 		pos
	496		 | 		neg		 | 		pos
	497		 | 		pos		 | 		pos
	498		 | 		pos		 | 		pos
	499		 | 		pos		 | 		pos
	500		 | 		neg		 | 		pos
	501		 | 		pos		 | 		pos
	502		 | 		pos		 | 		pos
	503		 | 		pos		 | 		pos
	504		 | 		pos		 | 		pos
	505		 | 		pos		 | 		pos
	506		 | 		neg		 | 		pos
	507		 | 		pos		 | 		pos
	508		 | 		pos		 | 		pos
	509		 | 		neg		 | 		pos
	510		 | 		neg		 | 		pos
	511		 | 		pos		 | 		pos
	512		 | 		neg		 | 		pos
	513		 | 		pos		 | 		pos
	514		 | 		pos		 | 		pos
	515		 | 		pos		 | 		pos
	516		 | 		pos		 | 		pos
	517		 | 		neg		 | 		pos
	518		 | 		neg		 | 		pos
	519		 | 		pos		 | 		pos
	520		 | 		pos		 | 		pos
	521		 | 		pos		 | 		pos
	522		 | 		pos		 | 		pos
	523		 | 		neg		 | 		pos
	524		 | 		pos		 | 		pos
	525		 | 		pos		 | 		pos
	526		 | 		pos		 | 		pos
	527		 | 		neg		 | 		pos
	528		 | 		pos		 | 		pos
	529		 | 		neg		 | 		pos
	530		 | 		pos		 | 		pos
	531		 | 		pos		 | 		pos
	532		 | 		neg		 | 		pos
	533		 | 		neg		 | 		pos
	534		 | 		pos		 | 		pos
	535		 | 		pos		 | 		pos
	536		 | 		neg		 | 		pos
	537		 | 		pos		 | 		pos
	538		 | 		pos		 | 		pos
	539		 | 		pos		 | 		pos
	540		 | 		pos		 | 		pos
	541		 | 		pos		 | 		pos
	542		 | 		pos		 | 		pos
	543		 | 		pos		 | 		pos
	544		 | 		neg		 | 		pos
	545		 | 		pos		 | 		pos
	546		 | 		pos		 | 		pos
	547		 | 		pos		 | 		pos
	548		 | 		pos		 | 		pos
	549		 | 		pos		 | 		pos
	550		 | 		pos		 | 		pos
	551		 | 		neg		 | 		pos
	552		 | 		pos		 | 		pos
	553		 | 		pos		 | 		pos
	554		 | 		pos		 | 		pos
	555		 | 		neg		 | 		pos
	556		 | 		pos		 | 		pos
	557		 | 		neg		 | 		pos
	558		 | 		pos		 | 		pos
	559		 | 		pos		 | 		pos
	560		 | 		pos		 | 		pos
	561		 | 		pos		 | 		pos
	562		 | 		pos		 | 		pos
	563		 | 		pos		 | 		pos
	564		 | 		pos		 | 		pos
	565		 | 		pos		 | 		pos
	566		 | 		neg		 | 		pos
	567		 | 		neg		 | 		pos
	568		 | 		pos		 | 		pos
	569		 | 		pos		 | 		pos
	570		 | 		pos		 | 		pos
	571		 | 		pos		 | 		pos
	572		 | 		pos		 | 		pos
	573		 | 		neg		 | 		pos
	574		 | 		pos		 | 		pos
	575		 | 		pos		 | 		pos
	576		 | 		pos		 | 		pos
	577		 | 		pos		 | 		pos
	578		 | 		pos		 | 		pos
	579		 | 		pos		 | 		pos
	580		 | 		pos		 | 		pos
	581		 | 		neg		 | 		pos
	582		 | 		pos		 | 		pos
	583		 | 		neg		 | 		pos
	584		 | 		pos		 | 		pos
	585		 | 		neg		 | 		pos
	586		 | 		pos		 | 		pos
	587		 | 		neg		 | 		pos
	588		 | 		pos		 | 		pos
	589		 | 		pos		 | 		pos
	590		 | 		pos		 | 		pos
	591		 | 		pos		 | 		pos
	592		 | 		pos		 | 		pos
	593		 | 		neg		 | 		pos
	594		 | 		pos		 | 		pos
	595		 | 		pos		 | 		pos
	596		 | 		pos		 | 		pos
	597		 | 		pos		 | 		pos
	598		 | 		pos		 | 		pos
	599		 | 		pos		 | 		pos
	600		 | 		pos		 | 		pos
	601		 | 		pos		 | 		pos
	602		 | 		pos		 | 		pos
	603		 | 		pos		 | 		pos
	604		 | 		pos		 | 		pos
	605		 | 		pos		 | 		pos
	606		 | 		neg		 | 		pos
	607		 | 		pos		 | 		pos
	608		 | 		neg		 | 		pos
	609		 | 		pos		 | 		pos
	610		 | 		neg		 | 		pos
	611		 | 		pos		 | 		pos
	612		 | 		pos		 | 		pos
	613		 | 		pos		 | 		pos
	614		 | 		pos		 | 		pos
	615		 | 		pos		 | 		pos
	616		 | 		pos		 | 		pos
	617		 | 		pos		 | 		pos
	618		 | 		pos		 | 		pos
	619		 | 		pos		 | 		pos
	620		 | 		pos		 | 		pos
	621		 | 		pos		 | 		pos
	622		 | 		pos		 | 		pos
	623		 | 		pos		 | 		pos
	624		 | 		pos		 | 		pos
	625		 | 		neg		 | 		pos
	626		 | 		pos		 | 		pos
	627		 | 		pos		 | 		pos
	628		 | 		pos		 | 		pos
	629		 | 		pos		 | 		pos
	630		 | 		pos		 | 		pos
	631		 | 		pos		 | 		pos
	632		 | 		pos		 | 		pos
	633		 | 		pos		 | 		pos
	634		 | 		pos		 | 		pos
	635		 | 		pos		 | 		pos
	636		 | 		pos		 | 		pos
	637		 | 		pos		 | 		pos
	638		 | 		pos		 | 		pos
	639		 | 		pos		 | 		pos
	640		 | 		pos		 | 		pos
	641		 | 		neg		 | 		pos
	642		 | 		pos		 | 		pos
	643		 | 		neg		 | 		pos
	644		 | 		pos		 | 		pos
	645		 | 		pos		 | 		pos
	646		 | 		pos		 | 		pos
	647		 | 		neg		 | 		pos
	648		 | 		pos		 | 		pos
	649		 | 		neg		 | 		pos
	650		 | 		neg		 | 		pos
	651		 | 		pos		 | 		pos
	652		 | 		pos		 | 		pos
	653		 | 		pos		 | 		pos
	654		 | 		neg		 | 		pos
	655		 | 		pos		 | 		pos
	656		 | 		pos		 | 		pos
	657		 | 		pos		 | 		pos
	658		 | 		neg		 | 		pos
	659		 | 		pos		 | 		pos
	660		 | 		pos		 | 		pos
	661		 | 		neg		 | 		pos
	662		 | 		pos		 | 		pos
	663		 | 		pos		 | 		pos
	664		 | 		pos		 | 		pos
	665		 | 		neg		 | 		pos
	666		 | 		pos		 | 		pos
	667		 | 		pos		 | 		pos
	668		 | 		pos		 | 		pos
	669		 | 		pos		 | 		pos
	670		 | 		pos		 | 		pos
	671		 | 		neg		 | 		pos
	672		 | 		pos		 | 		pos
	673		 | 		pos		 | 		pos
	674		 | 		neg		 | 		pos
	675		 | 		pos		 | 		pos
	676		 | 		pos		 | 		pos
	677		 | 		pos		 | 		pos
	678		 | 		pos		 | 		pos
	679		 | 		pos		 | 		pos
	680		 | 		pos		 | 		pos
	681		 | 		pos		 | 		pos
	682		 | 		pos		 | 		pos
	683		 | 		pos		 | 		pos
	684		 | 		pos		 | 		pos
	685		 | 		pos		 | 		pos
	686		 | 		pos		 | 		pos
	687		 | 		pos		 | 		pos
	688		 | 		pos		 | 		pos
	689		 | 		pos		 | 		pos
	690		 | 		pos		 | 		pos
	691		 | 		neg		 | 		pos
	692		 | 		pos		 | 		pos
	693		 | 		pos		 | 		pos
	694		 | 		pos		 | 		pos
	695		 | 		neg		 | 		pos
	696		 | 		neg		 | 		pos
	697		 | 		neg		 | 		pos
	698		 | 		neg		 | 		pos
	699		 | 		pos		 | 		pos
	700		 | 		pos		 | 		pos
	701		 | 		neg		 | 		pos
	702		 | 		pos		 | 		pos
	703		 | 		pos		 | 		pos
	704		 | 		pos		 | 		pos
	705		 | 		pos		 | 		pos
	706		 | 		pos		 | 		pos
	707		 | 		pos		 | 		pos
	708		 | 		pos		 | 		pos
	709		 | 		pos		 | 		pos
	710		 | 		neg		 | 		pos
	711		 | 		pos		 | 		pos
	712		 | 		pos		 | 		pos
	713		 | 		pos		 | 		pos
	714		 | 		pos		 | 		pos
	715		 | 		pos		 | 		pos
	716		 | 		neg		 | 		pos
	717		 | 		pos		 | 		pos
	718		 | 		neg		 | 		pos
	719		 | 		pos		 | 		pos
	720		 | 		pos		 | 		pos
	721		 | 		pos		 | 		pos
	722		 | 		neg		 | 		pos
	723		 | 		pos		 | 		pos
	724		 | 		pos		 | 		pos
	725		 | 		neg		 | 		pos
	726		 | 		neg		 | 		pos
	727		 | 		neg		 | 		pos
	728		 | 		pos		 | 		pos
	729		 | 		neg		 | 		pos
	730		 | 		pos		 | 		pos
	731		 | 		pos		 | 		pos
	732		 | 		pos		 | 		pos
	733		 | 		neg		 | 		pos
	734		 | 		pos		 | 		pos
	735		 | 		neg		 | 		pos
	736		 | 		pos		 | 		pos
	737		 | 		pos		 | 		pos
	738		 | 		pos		 | 		pos
	739		 | 		pos		 | 		pos
	740		 | 		neg		 | 		pos
	741		 | 		pos		 | 		pos
	742		 | 		neg		 | 		pos
	743		 | 		neg		 | 		pos
	744		 | 		pos		 | 		pos
	745		 | 		neg		 | 		pos
	746		 | 		neg		 | 		pos
	747		 | 		pos		 | 		pos
	748		 | 		pos		 | 		pos
	749		 | 		pos		 | 		pos
	750		 | 		pos		 | 		pos
	751		 | 		pos		 | 		pos
	752		 | 		pos		 | 		pos
	753		 | 		pos		 | 		pos
	754		 | 		pos		 | 		pos
	755		 | 		pos		 | 		pos
	756		 | 		pos		 | 		pos
	757		 | 		neg		 | 		pos
	758		 | 		pos		 | 		pos
	759		 | 		neg		 | 		pos
	760		 | 		neg		 | 		pos
	761		 | 		neg		 | 		pos
	762		 | 		pos		 | 		pos
	763		 | 		neg		 | 		pos
	764		 | 		neg		 | 		pos
	765		 | 		pos		 | 		pos
	766		 | 		pos		 | 		pos
	767		 | 		pos		 | 		pos
	768		 | 		pos		 | 		pos
	769		 | 		pos		 | 		pos
	770		 | 		neg		 | 		pos
	771		 | 		pos		 | 		pos
	772		 | 		pos		 | 		pos
	773		 | 		neg		 | 		pos
	774		 | 		neg		 | 		pos
	775		 | 		pos		 | 		pos
	776		 | 		pos		 | 		pos
	777		 | 		neg		 | 		pos
	778		 | 		pos		 | 		pos
	779		 | 		pos		 | 		pos
	780		 | 		pos		 | 		pos
	781		 | 		pos		 | 		pos
	782		 | 		neg		 | 		pos
	783		 | 		pos		 | 		pos
	784		 | 		pos		 | 		pos
	785		 | 		pos		 | 		pos
	786		 | 		pos		 | 		pos
	787		 | 		neg		 | 		pos
	788		 | 		pos		 | 		pos
	789		 | 		pos		 | 		pos
	790		 | 		pos		 | 		pos
	791		 | 		neg		 | 		pos
	792		 | 		neg		 | 		pos
	793		 | 		neg		 | 		pos
	794		 | 		pos		 | 		pos
	795		 | 		pos		 | 		pos
	796		 | 		pos		 | 		pos
	797		 | 		pos		 | 		pos
	798		 | 		pos		 | 		pos
	799		 | 		pos		 | 		pos
	800		 | 		neg		 | 		pos
	801		 | 		neg		 | 		pos
	802		 | 		pos		 | 		pos
	803		 | 		pos		 | 		pos
	804		 | 		pos		 | 		pos
	805		 | 		neg		 | 		pos
	806		 | 		pos		 | 		pos
	807		 | 		pos		 | 		pos
	808		 | 		pos		 | 		pos
	809		 | 		pos		 | 		pos
	810		 | 		pos		 | 		pos
	811		 | 		pos		 | 		pos
	812		 | 		pos		 | 		pos
	813		 | 		pos		 | 		pos
	814		 | 		neg		 | 		pos
	815		 | 		pos		 | 		pos
	816		 | 		neg		 | 		pos
	817		 | 		pos		 | 		pos
	818		 | 		neg		 | 		pos
	819		 | 		pos		 | 		pos
	820		 | 		pos		 | 		pos
